aX,aY,aZ,gX,gY,gZ
-0.024,2.231,-0.523,-122.681,28.198,184.631
-0.245,2.863,-0.060,-99.243,-102.783,-51.331
-0.482,1.939,0.750,-96.497,-187.195,-282.593
-0.609,0.345,1.394,-102.417,-255.188,-424.561
-0.653,-0.181,1.738,-58.228,-289.124,-462.524
-0.446,-0.866,2.332,23.682,-237.061,-255.188
0.166,-0.520,3.820,116.394,-163.269,-47.668
0.046,0.697,4.000,179.504,-72.327,103.943
-0.272,1.237,4.000,90.088,159.058,11.963
-0.602,0.638,3.878,32.654,281.189,-82.336
-0.987,-1.030,2.451,10.193,366.699,-95.764
-1.015,-1.095,1.734,-8.301,394.592,-41.382
-1.025,-0.811,1.293,-120.483,345.032,92.102
-1.040,0.630,0.570,-183.533,320.984,130.981
-0.932,1.532,-0.009,-238.159,289.856,121.826
-1.035,2.084,-0.553,-490.784,163.147,-3.723
-1.719,2.944,-1.433,-781.860,115.234,-80.383
-3.485,2.021,-4.000,-1058.594,64.819,-205.017
-3.113,-0.908,-4.000,-1148.254,-60.730,-304.871
-2.115,-3.131,-3.996,-548.706,-508.972,-65.857
-0.328,-1.699,-0.367,36.621,-623.840,109.741
0.179,-0.914,1.972,646.484,-595.581,135.986
0.360,-1.051,3.167,1184.875,-358.215,-4.272
0.292,-1.262,3.132,821.655,-366.821,6.592
0.122,-0.405,3.419,219.299,-481.445,33.691
0.075,-0.210,3.944,-310.730,-566.162,46.204
0.130,-0.045,4.000,-492.432,-294.617,102.905
0.188,0.502,2.715,-339.722,-75.928,109.741
0.133,0.760,1.712,-293.701,36.438,79.651
0.150,0.859,1.364,-553.589,20.569,-22.644
0.208,0.696,1.317,-542.908,44.128,-44.739
0.120,0.414,0.444,-369.446,90.881,-31.921
-0.006,0.567,-0.062,-219.299,111.328,1.099
-0.080,0.784,-0.279,-306.885,41.199,48.767
-0.095,0.953,-0.266,-396.423,0.183,51.025
-0.116,0.957,-0.277,-465.332,-25.513,45.288
-0.149,0.980,-0.295,-492.859,-36.377,21.912
-0.161,1.006,-0.287,-377.319,-17.761,2.747
-0.179,0.936,-0.422,-224.182,10.986,-19.531
-0.178,0.856,-0.560,-111.145,34.119,-40.527
-0.168,0.810,-0.628,-39.001,34.180,-63.354
-0.150,0.796,-0.485,-41.016,25.818,-67.322
-0.114,0.723,-0.383,-62.256,22.156,-68.970
-0.081,0.685,-0.312,-81.543,34.973,-56.274
-0.086,0.728,-0.323,-75.134,48.523,-52.063
-0.165,0.735,-0.582,-64.331,58.044,-56.946
-0.222,0.634,-0.673,-45.105,56.091,-65.002
-0.283,0.548,-0.608,-29.114,30.701,-63.721
-0.116,0.561,-0.389,-40.161,28.198,-57.068
-0.072,0.580,-0.421,-33.691,33.875,-49.988
-0.118,0.666,-0.468,-80.017,31.372,-34.485
-0.074,0.766,-0.475,-100.952,23.865,-37.476
0.026,0.795,-0.501,-96.741,20.325,-44.128
0.045,0.764,-0.604,-85.327,18.738,-48.950
0.046,0.625,-0.699,-28.564,8.118,-45.593
-0.109,0.439,-0.826,-24.109,-3.174,-24.658
-0.179,0.615,-0.819,-50.781,-21.606,5.005
-0.141,0.843,-0.750,-57.190,-58.289,21.423
-0.071,0.931,-0.623,-25.452,-64.941,10.315
-0.029,0.937,-0.455,16.357,-61.279,1.099
-0.043,0.976,-0.483,51.086,-52.734,-7.141
-0.060,0.992,-0.537,62.683,-42.664,-31.128
-0.078,0.898,-0.635,55.969,-41.748,-40.283
-0.092,0.827,-0.707,53.040,-42.175,-43.762
-0.119,0.783,-0.830,12.329,-58.838,-35.706
-0.155,0.790,-0.950,-28.198,-78.674,-27.161
-0.168,0.848,-0.967,-66.345,-101.868,-18.250
-0.153,0.822,-0.875,-99.792,-123.474,-10.681
-0.158,0.738,-0.855,-169.189,-151.550,3.479
-0.207,0.570,-1.024,-206.055,-164.612,14.832
-0.198,0.516,-1.002,-226.074,-181.458,28.625
-0.161,0.481,-0.840,-206.665,-208.069,57.190
-0.116,0.450,-0.643,-187.378,-206.970,69.641
-0.042,0.412,-0.475,-166.870,-200.256,79.163
-0.018,0.299,-0.407,-144.714,-194.824,84.778
0.004,0.140,-0.284,-90.088,-180.725,106.995
0.072,0.224,-0.073,-57.800,-161.316,127.380
0.103,0.398,-0.049,-30.029,-136.353,142.639
0.122,0.527,-0.028,-14.832,-100.220,149.231
0.125,0.616,0.028,-21.729,-88.074,147.705
0.103,0.566,0.114,-22.644,-72.815,144.653
0.099,0.520,0.094,-17.822,-54.016,145.142
0.086,0.591,0.046,-5.920,-18.127,158.081
0.040,0.884,-0.032,0.977,-7.080,157.776
0.030,1.006,0.023,3.845,-0.916,151.306
0.034,1.152,0.086,-10.132,18.860,131.714
0.034,1.242,0.092,-13.672,34.851,115.417
-0.048,1.029,-0.184,-10.254,49.683,98.999
-0.094,0.875,-0.347,-6.592,58.411,89.539
-0.103,0.872,-0.414,-23.376,60.059,94.116
-0.080,1.106,-0.328,-34.058,60.547,92.529
-0.073,1.153,-0.251,-37.231,63.049,84.473
