aX,aY,aZ,gX,gY,gZ
-0.553,2.196,1.658,-533.630,-171.204,173.645
-0.447,3.008,2.227,-439.270,-140.442,158.264
-0.424,3.300,2.332,-76.111,69.824,-67.261
-0.576,2.303,1.463,39.429,157.776,-179.993
-0.698,1.899,1.125,87.463,197.449,-232.788
-0.810,1.585,0.955,112.000,224.487,-263.367
-0.893,1.286,0.770,116.089,251.160,-266.479
-0.926,1.038,-0.097,112.915,279.419,-261.230
-0.921,1.036,-0.876,102.173,296.936,-255.066
-1.018,0.981,-2.115,3.113,290.161,-257.446
-1.646,0.000,-4.000,-92.957,178.223,-248.840
-1.913,-0.673,-4.000,-218.628,-68.604,-197.205
-1.851,-0.893,-3.833,-431.763,-454.468,32.104
-1.567,-0.581,-2.727,-436.584,-504.822,122.620
-0.874,0.337,0.245,-372.498,-490.662,156.799
-0.533,0.679,1.529,-285.828,-441.101,153.564
-0.186,1.103,2.531,-128.967,-277.954,123.047
0.288,2.035,2.915,-51.941,-177.246,97.107
0.418,2.294,2.560,23.499,-91.797,56.763
0.443,2.270,2.046,152.588,1.343,-63.843
0.385,1.972,1.452,189.270,13.367,-119.202
0.204,1.081,0.345,186.218,10.437,-148.560
0.155,0.796,-0.051,141.541,-2.136,-147.461
0.162,0.658,-0.241,6.165,-45.471,-103.210
0.254,0.581,-0.101,-45.898,-59.448,-82.764
0.306,0.538,0.006,-71.655,-58.105,-66.895
0.352,0.517,0.068,-74.646,-31.006,-36.865
0.377,0.571,0.130,-65.002,-17.456,-24.841
0.385,0.755,0.180,-47.180,-2.991,-19.287
0.375,0.800,0.129,-30.701,10.864,-18.494
0.346,0.810,0.046,-14.771,24.536,-20.752
0.315,0.831,-0.094,-14.099,21.851,-20.630
0.323,0.870,-0.110,-17.883,15.930,-18.677
0.337,0.915,-0.122,-30.884,5.371,-16.296
0.348,0.940,-0.136,-35.156,1.099,-17.822
0.355,0.929,-0.125,-34.729,-1.404,-19.714
0.357,0.911,-0.120,-23.926,0.305,-20.752
0.352,0.886,-0.125,28.809,12.207,-20.935
0.323,0.827,-0.134,41.504,15.503,-20.203
0.312,0.803,-0.139,36.682,15.686,-18.372
0.307,0.792,-0.133,17.029,12.268,-10.559
0.308,0.806,-0.109,10.742,10.986,-5.981
0.321,0.872,-0.054,6.409,10.681,-3.174
0.326,0.898,-0.057,3.113,10.864,-2.563
0.330,0.912,-0.057,0.122,6.042,-5.859
0.322,0.891,-0.012,4.395,2.258,-8.484
0.316,0.864,-0.021,12.817,0.305,-10.010
0.318,0.850,-0.068,23.071,0.305,-5.859
0.329,0.889,-0.162,22.888,-2.502,-3.418
0.333,0.905,-0.129,18.433,-9.033,-3.357
0.339,0.907,-0.065,9.155,-15.564,-5.249
0.340,0.896,-0.015,-10.254,-16.113,-10.254
0.341,0.853,0.016,-13.062,-12.146,-11.536
0.347,0.842,0.019,-13.489,-8.057,-10.986
0.349,0.844,0.007,-17.822,0.610,-6.836
0.347,0.870,-0.104,-19.043,1.099,-5.005
0.359,0.890,-0.103,-20.813,-3.723,-4.089
0.369,0.895,-0.073,-15.259,-10.376,-5.981
0.371,0.885,-0.061,-7.935,-8.911,-6.531
0.368,0.866,-0.059,-3.845,-6.836,-5.798
0.365,0.862,-0.056,-3.662,-3.906,-4.517
0.362,0.862,-0.065,-10.803,4.089,-1.587
0.359,0.875,-0.076,-16.052,6.104,-0.244
0.364,0.878,-0.053,-18.799,5.981,0.488
0.366,0.877,-0.025,-17.578,6.653,0.000
0.363,0.872,-0.017,-18.066,8.667,-0.305
0.352,0.865,-0.046,-18.311,10.071,0.427
0.349,0.866,-0.061,-16.541,10.315,2.014
0.346,0.866,-0.072,-16.479,8.667,5.920
0.337,0.866,-0.078,-18.066,8.362,7.324
0.333,0.864,-0.089,-17.944,8.545,8.240
0.330,0.863,-0.111,-17.883,6.714,9.338
0.324,0.858,-0.129,-20.691,3.235,9.827
0.313,0.833,-0.113,-23.804,-0.183,10.925
0.309,0.834,-0.106,-25.452,-1.099,12.634
0.308,0.846,-0.120,-29.297,3.540,15.625
0.307,0.862,-0.164,-26.917,4.211,15.991
0.306,0.858,-0.152,-21.301,2.563,16.113
0.303,0.862,-0.131,-15.381,1.709,17.395
0.300,0.873,-0.126,-12.756,4.639,17.395
0.295,0.887,-0.153,-8.667,7.141,16.968
0.292,0.891,-0.163,-5.493,7.874,16.663
0.290,0.896,-0.173,-0.122,6.531,16.663
0.282,0.895,-0.182,3.357,5.188,16.785
0.276,0.887,-0.183,5.066,3.174,17.456
0.273,0.887,-0.171,1.343,-1.892,20.935
0.277,0.902,-0.152,1.282,-3.052,22.278
0.287,0.940,-0.129,3.662,-3.784,21.851
0.280,0.923,-0.117,5.859,-4.578,20.081
0.268,0.900,-0.109,5.005,-2.930,19.592
0.252,0.907,-0.117,4.028,-0.366,21.118
