aX,aY,aZ,gX,gY,gZ
-1.292,4.000,1.243,400.513,95.581,-24.048
-1.136,3.882,-0.283,479.431,119.324,-125.061
-0.591,2.625,-1.155,41.870,-1.953,-326.294
0.602,-1.443,-1.042,-257.202,-77.271,-333.435
0.661,-2.607,-0.450,-482.483,-130.615,-249.023
0.398,-2.886,0.834,-726.135,-204.651,-5.310
0.100,-2.622,2.471,-716.309,-198.059,48.828
-0.042,-2.007,4.000,-622.314,-151.001,54.382
0.009,-1.899,3.791,-447.815,-64.758,52.979
-0.022,-1.561,2.791,44.922,121.460,138.184
-0.263,0.015,0.822,263.916,158.936,197.327
-0.413,0.743,0.321,400.513,155.029,232.788
-0.532,1.221,0.216,410.339,78.125,220.764
-0.596,1.464,0.396,318.726,33.081,186.707
-0.629,1.450,0.724,202.026,-3.052,143.433
-0.625,1.309,0.779,103.882,-28.687,100.891
-0.615,1.190,0.832,3.662,-50.171,46.753
-0.618,1.080,0.941,-24.780,-51.941,30.823
-0.630,1.077,1.005,-37.598,-52.063,16.541
-0.635,1.076,1.071,-30.640,-52.795,-18.860
-0.646,1.096,1.162,-35.583,-54.626,-42.358
-0.598,0.983,1.429,-53.650,-53.711,-69.580
-0.569,0.818,1.597,-87.036,-45.776,-94.910
-0.561,0.687,1.701,-112.488,-1.404,-120.117
-0.621,0.592,1.638,-90.942,29.846,-120.605
-0.688,0.689,1.484,-59.631,61.646,-119.080
-0.735,0.768,1.357,-37.292,97.839,-143.433
-0.741,0.692,1.342,-70.374,100.586,-166.138
-0.634,0.131,1.507,-107.117,101.013,-179.138
-0.587,-0.011,1.629,-130.920,102.966,-173.828
-0.587,0.057,1.683,-132.019,126.282,-141.052
-0.568,0.295,1.319,-102.539,146.057,-137.756
-0.454,0.254,1.007,-68.970,160.522,-141.846
-0.293,0.127,0.826,-56.580,149.841,-144.348
-0.143,0.002,0.829,-64.514,140.442,-139.465
0.058,-0.116,0.879,-65.796,139.587,-133.423
0.151,-0.193,0.800,-58.350,144.470,-126.282
0.224,-0.193,0.632,-40.039,150.818,-93.994
0.278,0.153,0.154,-38.818,142.029,-78.735
0.325,0.200,0.080,-50.537,121.521,-74.646
0.386,0.106,0.222,-93.079,68.298,-73.364
0.433,-0.017,0.433,-99.487,56.641,-63.110
0.451,0.038,0.473,-90.149,56.885,-48.828
0.456,0.116,0.341,-75.317,58.716,-37.231
0.464,0.169,0.248,-70.190,41.870,-23.132
0.475,0.280,0.138,-70.923,27.527,-18.494
0.478,0.301,0.127,-71.899,11.169,-15.869
0.467,0.326,0.215,-82.275,-22.339,-9.338
0.430,0.379,0.402,-89.844,-31.067,-5.920
0.368,0.398,0.720,-87.097,-28.809,-5.554
0.364,0.359,0.660,-70.740,-17.944,-5.920
0.352,0.362,0.515,-42.114,-3.296,0.793
0.246,0.653,0.394,-49.866,-7.629,4.150
0.179,0.806,0.481,-64.941,-16.052,0.977
0.115,0.911,0.583,-66.040,-22.217,-19.470
0.057,1.011,0.609,-45.044,-18.250,-31.921
0.033,0.928,0.437,-19.653,-13.000,-45.044
0.064,0.791,0.202,0.854,-8.789,-54.077
0.097,0.674,-0.083,5.310,-20.691,-57.800
0.094,0.670,-0.650,-2.380,-40.100,-59.021
0.070,0.700,-0.930,-7.935,-67.993,-65.430
0.056,0.695,-1.148,-19.653,-152.405,-89.478
0.042,0.643,-1.233,-41.138,-205.872,-98.755
-0.072,0.643,-0.930,-80.872,-259.705,-101.135
