aX,aY,aZ,gX,gY,gZ
0.576,-0.441,2.049,-79.834,0.305,10.742
0.586,-0.166,2.158,-46.326,25.330,-8.484
0.430,-0.691,2.170,79.468,94.116,-126.709
0.255,-1.448,1.928,66.223,95.520,-55.359
0.034,-1.038,1.761,10.071,78.064,57.190
-0.280,-0.169,1.896,-8.667,38.025,183.411
-0.671,1.073,2.229,-10.315,60.547,144.165
-1.590,3.337,1.779,-65.125,109.070,28.992
-2.055,3.747,0.937,-164.856,145.874,-132.812
-2.500,3.473,0.152,-382.935,120.911,-404.541
-2.674,1.696,-1.515,-415.832,109.802,-457.336
-2.227,0.705,-2.387,-393.311,84.106,-462.280
-1.619,0.057,-2.502,-304.810,-148.132,-365.662
-1.005,-0.195,-1.602,-267.090,-272.583,-304.138
0.087,-0.760,1.271,-248.962,-324.646,-259.094
0.510,-1.238,2.108,-221.863,-302.734,-224.426
0.781,-1.579,2.394,-91.919,-195.007,-153.381
0.913,-1.918,2.268,-55.664,-172.180,-107.300
0.841,-1.698,2.255,-58.350,-174.683,-34.790
0.737,-1.127,2.351,-95.764,-166.687,128.418
0.653,-0.475,2.359,-127.686,-133.972,168.274
0.551,0.394,1.828,-174.499,-102.051,175.476
0.452,0.536,1.541,-229.858,-84.106,159.851
0.328,0.560,1.372,-341.675,-54.749,107.056
0.158,0.560,1.052,-353.394,-26.184,86.914
0.087,0.620,0.878,-326.965,3.906,75.806
0.006,0.733,0.703,-245.666,47.546,69.397
-0.063,0.842,0.507,-228.516,54.321,66.895
-0.179,1.079,0.234,-223.633,51.819,66.528
-0.217,1.240,0.176,-212.646,47.119,63.721
-0.234,1.300,0.154,-171.265,42.419,24.780
-0.216,1.101,0.130,-152.283,42.969,-0.183
-0.209,1.013,0.082,-131.470,44.678,-16.602
-0.196,0.969,0.024,-108.459,41.687,-29.053
-0.173,0.943,-0.003,-104.492,36.072,-32.043
-0.124,0.911,0.025,-100.708,32.166,-34.546
-0.106,0.904,0.023,-101.929,30.457,-36.865
-0.097,0.905,0.027,-112.610,27.832,-40.894
-0.073,0.915,0.019,-105.774,28.381,-44.067
-0.062,0.895,-0.031,-90.881,29.419,-49.988
-0.051,0.856,-0.090,-69.397,20.996,-64.148
-0.037,0.823,-0.116,-63.904,11.658,-68.237
-0.016,0.786,-0.059,-57.312,4.517,-69.519
-0.017,0.788,-0.026,-49.438,2.625,-66.711
-0.028,0.811,-0.033,-26.428,11.902,-55.054
-0.038,0.947,-0.106,-21.851,15.686,-52.124
-0.013,0.991,-0.148,-25.574,15.930,-56.091
0.018,0.940,-0.177,-50.781,4.211,-62.988
0.043,0.892,-0.163,-59.082,-2.319,-53.711
0.076,0.993,-0.072,-60.669,-4.517,-43.335
0.069,1.053,-0.070,-59.998,-1.953,-38.757
0.050,1.027,-0.140,-43.518,7.263,-42.847
0.025,0.862,-0.281,-35.156,4.578,-40.710
0.023,0.824,-0.273,-36.011,-3.235,-35.461
0.028,0.840,-0.258,-40.283,-15.259,-26.428
0.050,0.894,-0.256,-32.959,-18.555,-27.100
0.027,0.973,-0.263,-21.729,-21.851,-31.189
0.018,0.982,-0.288,-15.930,-24.475,-35.034
0.032,0.991,-0.287,-27.527,-31.555,-37.781
0.052,0.985,-0.243,-27.893,-32.776,-40.466
0.050,0.961,-0.266,-21.606,-31.433,-44.678
0.046,0.917,-0.313,-9.888,-34.302,-51.575
0.071,0.844,-0.294,-13.000,-44.128,-49.316
0.093,0.862,-0.192,-18.738,-54.382,-44.434
0.113,0.904,-0.126,-20.752,-57.983,-39.978
0.124,0.935,-0.129,-12.817,-49.194,-39.185
0.127,0.887,-0.226,-9.827,-46.570,-40.771
0.129,0.855,-0.231,-10.010,-49.377,-40.039
0.138,0.863,-0.194,-15.442,-61.951,-32.043
0.162,0.947,-0.110,-16.296,-65.979,-29.785
0.177,0.954,-0.073,-15.137,-67.566,-30.701
0.194,0.929,-0.034,-14.465,-62.012,-33.325
0.208,0.903,-0.013,-11.475,-56.580,-31.616
