aX, aY, aZ, gX, gY, gZ
-0.364,1.242,1.443,133.789,213.562,44.800
-0.484,1.157,1.183,159.607,242.126,18.311
-0.589,1.224,0.872,41.748,261.108,12.085
-1.526,2.352,-1.950,9.033,302.795,7.202
-2.517,2.480,-3.811,24.048,349.365,-22.217
-3.483,1.937,-4.000,-184.937,-81.299,24.536
-4.000,1.884,-4.000,-436.218,-543.152,166.260
-3.570,3.923,-1.458,-666.077,-852.051,287.109
-2.941,4.000,1.271,-796.143,-910.217,308.350
-2.129,3.781,3.568,-665.344,-720.337,190.613
-0.186,2.606,4.000,-473.633,-574.951,129.211
0.372,2.124,4.000,-225.525,-372.253,23.865
0.333,1.629,3.754,297.913,101.013,-243.408
-0.070,1.079,2.655,432.495,246.216,-301.270
-0.590,0.193,-0.940,441.406,261.719,-273.560
-0.490,0.088,-1.420,352.051,179.016,-197.449
-0.304,0.163,-1.189,50.476,31.128,-48.462
-0.049,0.712,-0.678,-73.669,11.597,6.836
0.082,1.070,-0.300,-148.499,-8.667,45.654
0.222,1.389,0.203,-162.842,-49.316,60.608
0.312,1.555,0.625,-123.535,-38.574,45.410
0.233,1.430,0.828,-71.960,-5.615,29.663
0.127,1.296,0.700,-15.198,41.687,20.752
0.023,1.236,0.517,89.783,147.339,31.677
-0.121,1.282,0.117,135.925,188.721,43.396
-0.176,1.272,-0.006,177.734,209.290,50.354
-0.193,1.246,-0.017,226.013,199.463,44.800
-0.187,1.211,0.031,238.831,191.833,38.940
-0.315,1.557,-0.055,215.027,177.917,14.954
-0.291,1.463,0.011,125.061,153.625,-46.753
-0.217,1.001,0.061,-10.254,137.817,-142.578
-0.149,0.409,-0.178,3.784,142.212,-118.225
-0.128,0.458,-0.273,44.678,135.681,-76.294
0.047,0.472,-0.364,49.622,85.693,-37.048
0.213,0.366,-0.534,-88.196,29.419,-21.851
-0.098,0.617,-0.055,-244.019,-33.142,12.024
-0.154,0.925,0.272,-292.053,-57.495,44.678
-0.069,1.069,0.301,-116.699,3.601,34.790
0.031,1.068,0.070,-54.932,27.954,11.780
0.032,1.116,0.011,-42.480,35.889,-6.409
0.035,1.163,-0.059,-61.401,33.569,-38.635
0.001,1.047,-0.154,-73.242,27.039,-57.739
-0.018,0.904,-0.207,-91.309,18.311,-72.449
-0.040,0.827,-0.284,-109.985,8.057,-75.500
-0.038,0.861,-0.359,-135.986,-22.278,-64.026
-0.001,1.031,-0.453,-163.452,-45.410,-67.322
-0.013,1.107,-0.430,-197.998,-71.716,-77.087
-0.027,1.158,-0.376,-210.449,-101.807,-103.699
0.019,1.072,-0.423,-181.274,-101.379,-117.554
