aX,aY,aZ,gX,gY,gZ
0.508,-1.656,1.745,-142.456,-41.382,-53.345
0.662,-1.927,2.007,-124.817,-26.855,-34.363
0.788,-2.112,2.237,-97.534,51.819,21.057
0.585,-1.998,2.517,-43.884,111.267,54.687
0.242,-1.848,2.343,47.485,183.350,93.323
-0.110,-1.640,1.927,217.773,310.547,211.426
-0.555,-1.063,1.475,196.472,330.872,285.095
-2.714,3.174,0.674,63.904,319.275,297.974
-3.858,4.000,-0.055,-177.246,258.240,149.719
-4.000,4.000,-0.437,-688.171,-135.925,-449.829
-2.536,1.691,1.134,-770.447,-321.594,-641.296
-1.366,-0.528,1.803,-703.186,-345.947,-658.691
-0.459,-2.312,1.859,-264.587,-81.787,-444.946
0.255,-3.585,1.602,-76.721,5.981,-339.172
1.318,-4.000,1.688,-14.648,15.076,-225.769
1.398,-3.471,2.274,-22.644,-11.902,-107.361
1.173,-2.338,2.797,25.391,55.237,47.913
0.281,0.089,1.581,77.087,147.766,60.547
0.000,0.679,0.462,88.135,194.824,34.851
-0.027,0.662,-0.062,-49.927,82.336,-41.077
0.089,0.287,0.098,-126.587,15.869,-44.312
0.255,-0.348,0.738,-156.250,-7.629,-22.583
0.292,-0.426,0.782,-141.846,-2.808,7.263
0.335,-0.427,0.851,-78.613,-5.249,56.152
0.372,-0.140,1.252,-74.341,-11.719,74.829
0.320,0.129,1.387,-81.665,-9.949,86.609
0.276,0.335,1.452,-52.917,10.986,74.768
0.246,0.396,1.467,-19.104,29.480,57.129
0.199,0.296,1.240,8.728,52.673,41.809
0.178,0.240,1.040,29.053,74.158,31.189
0.162,0.205,0.861,69.885,92.102,29.846
0.119,0.313,0.615,80.811,87.830,37.109
0.132,0.403,0.586,74.646,76.477,43.213
0.156,0.470,0.635,29.358,46.021,47.058
0.150,0.528,0.704,28.809,32.654,48.889
0.102,0.755,0.722,52.429,19.470,47.913
0.029,0.906,0.690,89.783,4.272,36.255
0.063,0.905,0.768,116.516,-27.710,-34.546
0.244,0.351,1.031,43.823,-28.198,-65.430
0.266,0.141,1.018,-29.724,-17.578,-69.946
0.279,0.101,0.947,-57.983,2.441,-37.231
0.307,0.164,0.894,-58.044,3.296,-30.579
0.415,0.083,0.864,-60.486,0.793,-33.447
0.420,-0.063,0.809,-57.373,-3.479,-31.982
0.384,-0.053,0.821,-53.223,-14.587,2.930
0.340,0.131,0.839,-53.528,-11.780,16.418
0.324,0.199,0.821,-52.002,-6.287,24.475
0.310,0.280,0.817,-38.818,1.831,30.396
0.300,0.356,0.825,-24.902,4.333,23.743
0.294,0.369,0.770,-15.991,5.127,13.062
0.282,0.361,0.711,-25.452,1.831,3.967
0.270,0.385,0.723,-106.323,-19.287,-5.493
0.246,0.469,0.808,-127.563,-26.245,-10.010
0.241,0.467,0.791,-125.610,-28.198,-15.503
0.238,0.469,0.768,-105.713,-32.471,-21.240
0.242,0.491,0.790,-105.347,-36.682,-23.621
0.262,0.515,0.971,-108.643,-37.842,-28.442
0.253,0.525,1.011,-108.826,-33.020,-34.180
0.218,0.579,0.937,-93.262,-16.296,-41.809
0.161,0.671,0.672,-89.050,-18.311,-48.157
0.180,0.586,0.682,-94.177,-29.236,-56.641
0.212,0.494,0.772,-99.731,-45.532,-62.500
0.244,0.431,0.879,-87.463,-41.565,-60.425
0.246,0.439,0.920,-67.017,-31.494,-56.152
