Motion detected, recording started...
aX, aY, aZ, gX, gY, gZ
Recording complete. Printing data...
aX,aY,aZ,gX,gY,gZ
0.283,0.281,1.926,-356.384,116.272,35.950
0.022,0.602,1.798,-401.428,139.221,42.725
-0.198,0.804,1.597,-302.429,219.482,1.221
-0.331,0.804,1.391,-211.243,261.353,-34.973
-0.710,0.797,1.442,-125.732,309.937,-69.885
-1.271,0.921,1.181,-41.260,407.349,-111.145
-2.130,0.932,-0.642,-6.165,690.857,-169.739
-3.929,0.118,-4.000,-89.111,594.299,-155.762
-4.000,-0.609,-4.000,-200.928,216.736,-81.360
-4.000,-0.603,-4.000,-522.217,-803.894,328.674
-4.000,0.396,-3.056,-667.969,-1055.237,544.373
-3.656,3.196,0.608,-732.056,-1095.581,662.781
-2.976,3.977,2.423,-719.604,-1037.659,673.950
-1.949,4.000,3.741,-490.784,-792.358,470.459
0.236,3.990,4.000,-314.514,-599.609,292.419
0.736,3.723,4.000,-121.033,-373.352,102.173
0.681,3.209,3.589,224.365,55.359,-189.697
0.303,2.578,2.464,342.773,198.853,-270.203
-0.274,1.146,-0.732,405.762,260.254,-304.993
-0.305,0.430,-1.674,394.226,235.657,-286.682
-0.223,-0.023,-1.873,159.241,36.133,-105.652
0.055,0.431,-0.506,12.207,-63.843,4.578
0.167,1.039,0.336,-87.524,-115.906,78.369
0.230,1.476,0.768,-89.722,-63.293,63.293
0.226,1.562,0.754,-31.555,-16.724,7.690
0.088,0.978,0.307,26.794,11.536,-40.955
0.030,0.709,0.160,62.134,23.987,-64.880
0.007,0.594,0.046,62.866,32.471,-53.467
0.039,0.615,-0.002,54.382,29.175,-39.368
0.069,0.659,0.076,46.509,22.888,-26.794
0.098,0.716,0.156,34.363,18.433,-9.583
0.117,0.835,0.193,34.424,21.851,-5.310
0.115,0.888,0.160,41.016,26.001,-2.625
0.107,0.943,0.132,45.532,28.015,-0.610
0.093,0.983,0.118,34.668,26.428,-2.563
0.060,0.975,0.085,31.860,25.940,-4.700
0.044,0.973,0.055,28.809,24.597,-4.822
0.038,0.988,0.031,17.212,14.526,-1.953
0.054,1.007,0.070,9.399,6.531,-1.160
0.066,1.003,0.113,2.930,-0.305,-0.610
0.080,0.989,0.147,0.305,-4.456,-0.366
0.097,0.974,0.177,-1.526,-9.338,0.122
0.134,0.982,0.244,-1.770,-10.498,1.343
0.142,0.990,0.258,0.732,-9.460,2.014
0.146,0.987,0.258,5.188,-4.150,0.305
0.145,0.986,0.235,3.235,-1.831,-0.061
0.142,0.991,0.214,0.732,-0.061,-0.427
0.138,0.981,0.191,2.686,0.000,-3.174
0.132,0.956,0.170,4.700,-1.953,-3.784
0.114,0.900,0.128,5.554,-5.005,-2.625
0.113,0.881,0.126,2.563,-9.399,0.671
0.118,0.881,0.153,-7.690,-18.921,10.742
0.131,0.886,0.220,-5.798,-20.752,12.329
0.124,0.826,0.221,-2.625,-20.508,10.742
0.105,0.747,0.184,-1.404,-17.700,15.747
0.077,0.689,0.114,-0.610,-19.653,24.536
0.013,0.612,-0.003,0.244,-25.757,35.095
-0.009,0.585,-0.004,-0.366,-34.851,48.096
-0.008,0.622,0.051,-42.175,-54.749,80.933
-0.005,0.780,0.174,-56.152,-59.326,94.360
-0.000,0.884,0.238,-42.725,-60.608,105.713
0.008,1.035,0.342,-19.104,-60.974,117.310
0.013,1.190,0.460,3.784,-53.223,107.117
0.011,1.259,0.515,20.691,-37.415,86.182
0.008,1.221,0.435,-7.263,-19.653,64.331
-0.043,1.165,0.356,-88.135,-9.827,37.598
-0.098,1.087,0.289,-68.604,-12.329,34.119
-0.074,1.125,0.312,-41.565,-15.747,36.011
-0.042,1.184,0.366,-39.001,-23.010,29.968
-0.019,1.220,0.433,-47.974,-21.362,15.869
-0.008,1.115,0.502,-55.725,-13.611,-1.770
0.011,0.966,0.538,-60.486,-1.099,-15.259
0.028,0.848,0.574,-72.388,33.447,-5.432
