Motion detected, recording started...
aX, aY, aZ, gX, gY, gZ
Recording complete. Printing data...
aX,aY,aZ,gX,gY,gZ
0.190,1.344,2.297,-295.349,-39.612,94.727
0.184,1.550,2.365,-223.755,14.832,66.589
0.196,1.439,2.472,-81.299,102.539,-53.467
0.600,0.741,2.717,-70.435,133.057,-95.947
0.693,0.604,2.769,-80.688,159.790,-117.126
0.434,0.676,2.661,-49.316,252.747,-141.541
-0.050,0.769,2.356,-27.771,316.650,-170.288
-0.823,1.243,0.597,-97.412,315.735,-257.507
-1.916,1.746,-0.718,-246.033,230.286,-368.103
-3.289,2.562,-2.772,-357.544,-25.391,-466.614
-4.000,0.993,-4.000,-285.156,-227.783,-425.964
-3.848,0.366,-4.000,-291.260,-425.110,-253.174
-3.134,0.754,-2.685,-613.403,-618.225,173.523
-2.332,1.606,-0.913,-659.973,-578.857,241.516
-1.474,2.078,1.117,-546.204,-538.696,207.642
-1.196,1.592,2.380,-353.271,-571.411,134.277
-0.767,1.179,3.643,-138.794,-602.966,47.607
0.110,1.439,4.000,-115.356,-496.033,25.635
0.391,1.784,3.567,-67.749,-359.253,-15.442
0.416,1.885,2.804,114.685,-150.391,-164.978
0.242,1.548,1.822,131.409,-92.896,-229.187
-0.104,0.537,-0.009,78.979,-82.642,-246.155
-0.179,0.306,-0.411,28.137,-122.131,-224.243
-0.031,0.149,-0.210,-58.044,-251.648,-122.559
0.287,0.380,1.051,-98.999,-266.174,-61.401
0.335,0.546,1.296,-94.177,-219.910,-21.118
0.303,0.662,1.111,53.528,-43.457,2.380
0.252,0.740,0.681,120.117,15.747,4.944
0.248,0.721,0.276,132.812,37.109,6.592
0.289,0.623,0.336,99.609,40.283,8.545
0.318,0.546,0.378,47.363,65.552,30.518
0.237,0.619,0.139,55.298,82.214,49.011
0.202,0.680,0.050,58.899,81.116,62.561
0.203,0.734,0.100,2.808,37.292,72.510
0.238,0.904,0.156,-65.674,11.047,63.477
0.106,1.262,0.067,-122.742,-23.682,22.766
0.208,1.095,0.144,-119.263,-52.979,-38.086
0.488,0.920,0.147,-44.373,-61.035,-95.093
0.418,0.711,0.269,-34.546,-71.289,-84.290
0.347,0.669,0.473,-43.274,-84.961,-66.406
0.333,0.620,0.607,-27.222,-58.594,-39.063
0.285,0.611,0.577,-20.508,-28.687,-20.203
0.223,0.906,0.378,-28.687,-12.451,-6.287
0.249,0.911,0.422,-35.400,-12.878,-11.108
0.283,0.809,0.488,-26.672,-16.479,-33.813
0.276,0.864,0.356,-19.043,-10.193,-29.114
0.311,0.858,0.329,-14.893,-7.568,-27.161
0.325,0.737,0.361,3.662,-4.578,-23.071
0.304,0.633,0.376,6.226,1.038,-2.563
0.391,0.726,0.400,0.488,6.653,25.269
0.501,0.844,0.409,-23.865,8.667,45.898
0.547,0.905,0.438,-112.000,-3.357,48.523
0.461,0.980,0.572,-147.461,-5.493,44.983
0.381,1.026,0.571,-166.809,4.150,40.833
0.293,1.047,0.513,-197.327,32.288,14.099
0.183,0.997,0.432,-192.627,38.818,-0.977
-0.003,0.749,0.305,-165.649,40.466,-3.296
0.079,0.706,0.344,-131.104,40.466,10.681
0.157,0.764,0.430,-64.575,63.049,58.044
0.045,1.075,0.507,-45.959,89.722,71.838
0.029,1.167,0.448,-21.362,119.812,70.251
0.037,1.097,0.327,-14.099,161.743,28.015
-0.003,0.914,0.186,-39.734,170.593,12.878
-0.111,0.730,-0.075,-46.204,175.598,14.771
-0.113,0.797,-0.136,-31.860,176.086,27.222
-0.104,0.919,-0.145,8.301,166.687,44.922
-0.098,1.099,-0.043,28.259,164.001,40.527
-0.089,1.099,-0.009,50.720,166.870,29.480
-0.069,1.088,-0.063,108.948,180.786,16.479
-0.073,1.090,-0.159,144.775,176.758,18.860
-0.253,1.065,-0.197,166.565,165.466,22.888
-0.342,1.026,-0.177,157.654,154.785,24.109
